"" "Ahlefeld_Erna_1820" "Ahlefeld_MarieMueller_1799" "Anonym_Schwester-Monika_1815" "Arnim_Graefin-Dolores_1810" "Arnim_Isabella-von-Aegypten_1812" "Arnim_Kronewaechter_1817" "Brentano_Godwi_1801" "Bruckbraeu_Mittheilungen_1829" "Campe_Robinson_1779" "Clauren_Liebe-und-Irrtum_1827" "Diderot_Die-Nonne_1796" "Diderot_Jakob_1796" "Ehrmann_Amalie_1787" "Ehrmann_Nina_1788" "Eichendorff_Ahnung-und-Gegenwart_1815" "Engel_Lorenz-Stark_1801" "Fischer_Guenstling_1808" "Fischer_Gustav_1801" "Fischer_Hannchen_1800" "Fischer_Honigmonathe_1802" "Fischer_Margarethe_1812" "Fischer_Vierzehn-Tage_1801" "Forster_Ansichten_1791" "Fouque_Falkenstein_1810" "Fouque_Magie-der-Natur_1812" "Fouque_Resignation_1829" "Fouque_Rodrich_1807" "Fouque_Spanier_1814" "Froelich_Kentucky_1819" "Goethe_Lehrjahre_1795" "Goethe_Wahlverwandschaften_1809" "Goethe_Wanderjahre_1821" "Goethe_Werther_1774" "Haller_Usong_1771" "Hauff_Bettlerin_1826" "Hauff_Lichtenstein_1826" "Hauff_Memoiren-des-Satan_1826" "Heine_Harzreise_1824" "Heinse_Ardinghello_1787" "Heinse_Hildegard_1795" "Hippel_Kreuz-und-Querzuege_1793" "Hippel_Lebenslaeufe_1779" "Hoelderlin_Fragment-von-Hyperion_1794" "Hoelderlin_Hyperion_1797" "Hoelderlin_HyperionsJugend_1797" "Hoffmann_Elixiere_1816" "Hoffmann_Kater-Murr_1820" "Huber_Ellen-Percy_1822" "Huber_Klosterberuf_1830" "Huber_Luise_1796" "Huber_Seldorf_1795" "Jacobi_Eduard-Allwill_1792" "Jacobi_Woldemar_1779" "Klingemann_Nachtwachen_1804" "Klinger_Faust_1791" "Klinger_Geschichte-eines-Teutschen_1798" "Knigge_Benjamin-Noldmann_1790" "Knigge_Braunschweig_1792" "Knigge_Josephs-von-Wurmbrands_1792" "La-Roche_Oneida_1798" "La-Roche_Rosaliens-Briefe_1779" "La-Roche_Sternheim_1771" "Lavater_Unveraenderte-Fragmente_1773" "Liebeskind_Maria_1784" "Manzoni_Die-Verlobten_1826" "Mereau_Amanda-und-Eduard_1803" "Mereau_Bluethenalter_1794" "Miller_Siegwart_1776" "Moritz_Anton-Reiser_1785" "Moritz_Hartknopf_1786" "Moritz_Hartknopfs-Predigerjahre_1790" "Mueller_Siegfried_1779" "Naubert_Alf-von-Duelmen_1790" "Naubert_Amtmannin_1787" "Naubert_Hermann-von-Unna_1788" "Nicolai_Sebaldus-Nothanker_1773" "Novalis_Lehrlinge_1802" "Novalis_Ofterdingen_1802" "Paul_Feldprediger_1809" "Paul_Flegeljahre_1804" "Paul_Hesperus_1795" "Paul_Katzenberger_1809" "Paul_Loge_1793" "Paul_Luftschiffers-Giannozzo_1801" "Paul_Quintus-Fixlein_1796" "Paul_Siebenkaes_1796" "Paul_Titan_1800" "Pestalozzi_Lienhard-und-Gertrud_1781" "Pfeffel_Biographie-eines-Pudels_1789" "Pichler_Agathocles_1808" "Restif-de-la-Bretonne_Anti-Justine_1793" "Sade_Geschichte-der-Justine_1797" "Schiller_Geisterseher_1787" "Schilling_Denkwuerdigkeiten_1787" "Schlegel_Florentin_1801" "Schlegel_Lucinde_1799" "Schopenhauer_Die-Tante_1823" "Schopenhauer_Gabriele_1819" "Scott_Ivanhoe_1819" "Spindler_Der-Jude_1827" "Stendhal_Rot-und-Schwarz_1830" "Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "Tieck_Franz-Sternbald_1798" "Tieck_William-Lovell_1795" "Unger_Albert-und-Albertine_1804" "Unger_Bekenntnisse_1806" "Unger_Julchen-Gruenthal_1798" "Voss_Ini_1810" "Vulpius_Rinaldo-Rinaldini_1799" "Waiblinger_Briten-in-Rom_1828" "Wezel_Belphegor_1776" "Wezel_Hermann-und-Ulrike_1780" "Wezel_Kakerlak_1784" "Wieland_Abderiten_1774" "Wieland_Agathon_1794" "Wieland_Aristipp_1801" "Wieland_Der-goldene-Spiegel_1772" "Wieland_Peregrinus_1788" "Wobeser_Elisa_1795" "Wolzogen_Agnes_1798" "Zschokke_Goldmacherdorf_1817"
"Paul_Loge_1793" 5 7 7 7 7 7 7 6 5 6 6 5 6 6 6 6 6 7 6 7 7 6 4 7 7 7 6 6 6 7 5 7 7 5 7 7 7 6 7 5 7 6 6 7 6 7 7 5 5 4 5 7 7 7 7 6 4 5 3 5 5 6 5 6 6 6 5 7 5 7 5 4 5 6 5 5 5 5 7 9 8 9 13 7 8 8 9 5 5 6 4 6 5 7 7 7 6 5 6 7 6 7 7 7 7 4 6 5 7 7 7 7 6 3 4 4 3 6 6 6 4
"Paul_Luftschiffers-Giannozzo_1801" 4 5 5 5 5 5 5 5 4 5 4 4 4 4 5 4 4 5 4 5 5 4 3 5 5 5 4 4 4 5 3 5 5 4 5 5 5 6 5 4 5 5 4 5 4 5 5 4 4 3 4 5 5 5 5 4 3 4 2 4 4 4 3 4 4 4 4 5 4 5 4 4 3 4 3 4 4 4 8 7 6 7 7 10 8 7 7 4 4 4 3 4 4 5 5 5 4 4 4 5 4 5 5 5 5 3 4 4 5 5 5 5 5 3 3 2 2 4 4 4 4
"Paul_Quintus-Fixlein_1796" 4 5 5 5 5 5 5 5 4 5 4 4 4 4 5 4 4 5 4 5 5 4 3 5 5 5 4 4 4 5 3 5 5 4 5 5 5 6 5 4 5 5 4 5 4 5 5 4 4 3 4 5 5 5 5 4 3 4 2 4 4 4 3 4 4 4 4 5 4 5 4 4 3 4 3 4 4 4 7 7 6 7 8 8 9 7 7 4 4 4 3 4 4 5 5 5 4 4 4 5 4 5 5 5 5 3 4 4 5 5 5 5 5 3 3 2 2 4 4 4 4
"Paul_Siebenkaes_1796" 5 6 6 6 6 6 6 6 5 6 5 4 5 5 6 5 5 6 5 6 6 5 4 6 6 6 5 5 5 6 4 6 6 5 6 6 6 6 6 5 6 5 5 6 5 6 6 5 5 4 5 6 6 6 6 5 4 5 3 5 5 5 4 5 5 5 5 6 5 6 5 4 4 5 4 5 5 5 7 8 7 8 8 7 7 10 8 4 5 5 3 5 5 6 6 6 5 5 5 6 5 6 6 6 6 4 5 5 6 6 6 6 5 3 4 3 3 5 5 5 4
"Paul_Titan_1800" 7 9 9 10 9 9 9 8 5 7 8 7 8 7 7 8 8 9 7 9 9 7 6 9 9 9 8 8 8 9 6 8 9 6 9 9 9 7 9 6 8 7 7 8 8 9 9 7 7 6 6 9 9 9 9 8 6 7 4 6 6 8 6 8 8 8 6 9 7 8 6 5 6 8 7 7 6 6 7 10 9 9 9 7 7 8 13 6 7 7 5 8 7 8 9 9 7 7 8 9 8 9 9 9 9 5 8 5 9 9 8 9 8 5 6 6 4 8 8 8 6
"Pestalozzi_Lienhard-und-Gertrud_1781" 4 7 6 7 6 6 7 5 5 5 8 6 7 7 4 7 6 7 5 7 7 6 3 6 6 6 5 5 6 7 4 5 7 5 7 6 7 4 6 3 7 7 5 6 5 6 6 6 6 5 5 6 7 6 7 6 4 6 3 4 5 7 7 7 6 6 5 7 6 7 5 3 6 7 6 7 3 4 4 5 4 4 5 4 4 4 6 9 5 6 4 6 4 6 7 6 4 4 6 6 6 6 7 7 7 5 7 3 6 6 6 7 6 4 3 4 3 5 6 6 6
"Pfeffel_Biographie-eines-Pudels_1789" 6 7 7 8 7 8 8 7 5 6 7 6 7 6 8 7 6 7 5 7 7 6 6 7 8 8 6 6 7 7 6 7 8 6 7 9 7 7 8 5 6 5 5 7 6 7 7 7 8 6 5 7 7 7 7 6 6 7 4 6 7 7 5 7 8 7 5 7 7 8 7 4 5 7 6 7 6 6 4 6 4 6 5 4 4 5 7 5 11 5 4 7 6 6 8 7 5 6 8 7 7 7 8 8 7 5 7 6 9 7 6 7 6 5 5 5 4 6 6 6 6
"Pichler_Agathocles_1808" 6 8 7 7 7 7 8 6 5 6 7 5 7 7 5 7 8 8 6 8 8 6 5 7 7 7 7 7 8 8 5 6 8 8 8 7 7 5 7 5 7 6 7 7 7 7 7 6 7 6 7 7 8 7 7 8 4 6 4 6 5 7 7 7 6 8 7 8 7 8 6 2 7 7 7 6 5 6 4 6 6 5 6 4 4 5 7 6 5 9 3 6 6 7 8 7 6 6 6 7 6 7 8 8 8 6 7 5 7 7 7 8 6 3 5 5 4 7 8 8 4
"Restif-de-la-Bretonne_Anti-Justine_1793" 3 5 5 5 5 5 5 4 3 4 5 5 5 4 4 5 4 5 5 5 5 5 2 5 5 5 4 4 4 5 4 5 5 2 5 5 5 4 5 3 4 4 3 4 4 5 5 4 3 3 2 5 5 5 5 4 3 4 1 3 4 5 3 5 5 4 2 5 3 4 3 3 3 5 4 4 3 3 3 5 3 4 4 3 3 3 5 4 4 3 7 7 3 5 5 5 4 3 5 5 5 5 5 5 5 2 5 2 5 5 4 5 5 3 2 3 1 4 4 4 4
"Sade_Geschichte-der-Justine_1797" 6 8 8 8 8 8 8 7 5 6 8 7 8 7 6 8 7 8 6 8 8 7 5 8 8 8 7 7 7 8 6 7 8 5 8 8 8 6 8 5 7 6 6 7 7 8 8 7 6 6 5 8 8 8 8 7 6 7 4 5 6 8 6 8 8 7 5 8 6 7 5 4 6 8 7 7 5 5 4 7 5 6 6 4 4 5 8 6 7 6 7 10 6 7 8 8 6 6 8 8 8 8 8 8 8 5 8 4 8 8 7 8 7 5 5 6 4 7 7 7 6
"Schiller_Geisterseher_1787" 7 7 7 7 7 7 7 7 4 6 6 5 6 5 6 7 7 7 5 7 7 5 6 7 7 7 7 7 7 7 5 6 7 6 7 7 7 6 7 6 6 5 6 6 7 7 7 6 7 6 6 7 7 7 7 7 5 6 4 6 5 6 5 6 6 7 6 7 7 6 6 3 5 6 6 6 6 6 4 6 5 6 5 4 4 5 7 4 6 6 3 6 8 6 7 7 6 7 6 7 6 7 7 7 7 5 6 5 7 7 6 7 6 4 6 5 4 7 7 7 5
"Schilling_Denkwuerdigkeiten_1787" 6 9 9 8 8 8 9 7 6 8 8 6 8 7 7 8 8 9 9 9 9 8 5 8 8 8 7 7 8 9 6 8 9 6 9 8 8 7 8 6 7 6 6 7 7 8 8 7 7 6 6 8 9 8 8 8 5 7 3 7 7 8 6 8 7 8 6 9 7 8 7 4 6 8 7 7 6 7 5 8 6 7 7 5 5 6 8 6 6 7 5 7 6 10 9 8 7 6 7 8 7 8 9 9 9 5 8 5 8 8 7 9 7 4 5 5 3 7 8 8 5
"Schlegel_Florentin_1801" 7 10 9 10 9 10 11 8 6 8 9 7 9 8 9 9 9 10 8 10 10 8 8 9 10 10 8 8 10 10 8 9 11 7 10 10 9 8 10 6 8 7 7 9 8 9 9 8 9 7 7 9 10 9 9 9 6 8 4 8 8 9 7 9 9 10 7 10 9 10 8 4 7 9 8 8 8 9 5 8 6 7 7 5 5 6 9 7 8 8 5 8 7 9 12 9 7 7 8 9 8 9 11 11 10 6 9 7 10 9 8 10 8 5 6 6 4 8 9 9 6
"Schlegel_Lucinde_1799" 7 9 9 9 9 9 9 8 5 7 8 7 8 7 7 8 8 9 7 9 9 7 7 9 9 9 8 8 8 9 6 8 9 6 9 9 9 7 10 6 8 7 7 8 8 9 9 7 7 6 6 9 9 9 9 8 6 7 4 6 6 8 6 8 8 8 6 9 7 8 6 4 6 8 7 7 7 6 5 8 6 7 7 5 5 6 9 6 7 7 5 8 7 8 9 10 7 7 8 9 8 9 9 9 9 6 8 5 9 9 8 9 8 5 6 6 4 8 8 8 6
"Schopenhauer_Die-Tante_1823" 6 7 7 7 7 7 7 6 4 6 6 5 6 5 6 6 7 7 6 7 7 6 5 7 7 7 7 7 7 7 6 7 7 5 7 7 7 6 7 6 6 5 6 6 7 7 7 5 6 5 5 7 7 7 7 7 4 5 3 6 5 6 5 6 6 7 5 7 6 6 6 3 5 6 6 5 6 6 4 7 6 6 6 4 4 5 7 4 5 6 4 6 6 7 7 7 8 7 6 7 6 7 7 7 7 4 6 5 7 7 6 7 6 3 5 5 3 7 7 7 4
"Schopenhauer_Gabriele_1819" 7 7 7 7 7 7 7 7 4 6 6 5 6 5 6 6 7 7 5 7 7 5 6 7 7 7 7 7 7 7 5 6 7 6 7 7 7 6 7 6 6 5 6 6 7 7 7 6 7 6 6 7 7 7 7 7 5 6 4 6 5 6 5 6 6 7 6 7 7 6 6 3 5 6 6 6 6 6 4 6 5 6 5 4 4 5 7 4 6 6 3 6 7 6 7 7 7 8 6 7 6 7 7 7 7 5 6 5 7 7 6 7 6 4 6 5 4 7 7 7 5
"Scott_Ivanhoe_1819" 6 8 8 8 8 8 8 7 5 6 8 7 8 7 7 8 7 8 6 8 8 7 5 8 8 8 7 7 7 8 6 7 8 6 8 9 8 6 8 5 7 6 6 7 7 8 8 7 7 6 5 8 8 8 8 7 6 7 4 5 6 8 6 8 8 7 5 8 6 7 5 4 6 8 7 7 5 5 4 7 5 6 6 4 4 5 8 6 8 6 5 8 6 7 8 8 6 6 10 8 8 8 8 8 8 5 8 5 9 8 7 8 7 5 5 6 4 7 7 7 6
"Spindler_Der-Jude_1827" 7 9 9 9 9 9 9 8 5 7 8 7 8 7 7 8 8 9 7 9 9 7 6 9 9 9 8 8 8 9 6 8 9 6 9 9 9 7 9 6 8 7 7 8 8 9 9 7 7 6 6 9 9 9 9 8 6 7 4 6 6 8 6 8 8 8 6 9 7 8 6 4 6 8 7 7 6 6 5 8 6 7 7 5 5 6 9 6 7 7 5 8 7 8 9 9 7 7 8 10 8 9 9 9 9 5 8 5 9 9 8 9 8 5 6 6 4 8 8 8 6
"Stendhal_Rot-und-Schwarz_1830" 6 8 8 8 8 8 8 7 5 6 8 7 8 7 6 8 7 8 6 8 8 7 5 8 8 8 7 7 7 8 6 7 8 5 8 8 8 6 8 5 7 6 6 7 7 8 8 7 6 6 5 8 8 8 8 7 6 7 4 5 6 8 6 8 8 7 5 8 6 7 5 4 6 8 7 7 5 5 4 7 5 6 6 4 4 5 8 6 7 6 5 8 6 7 8 8 6 6 8 8 9 8 8 8 8 5 8 4 8 8 7 8 7 5 5 6 4 7 7 7 6
"Thuemmel_Reise-in-mittaegliche-Provinzen_1791" 7 9 9 9 9 9 9 8 5 7 8 7 8 7 7 8 8 9 7 9 9 7 6 9 9 9 8 8 8 9 6 8 9 6 9 9 9 7 9 6 8 7 7 8 8 9 9 7 7 6 6 9 9 9 9 8 6 7 4 6 6 8 6 8 8 8 6 9 7 8 6 4 6 8 7 7 6 6 5 8 6 7 7 5 5 6 9 6 7 7 5 8 7 8 9 9 7 7 8 9 8 10 9 9 9 5 8 5 9 9 8 9 8 5 6 6 4 8 8 8 6
"Tieck_Franz-Sternbald_1798" 7 10 9 10 9 10 11 8 6 8 9 7 9 8 9 9 9 10 8 10 10 8 7 9 10 10 8 8 10 10 7 9 11 7 10 10 9 8 10 6 8 7 7 9 8 9 9 8 9 7 7 10 10 9 9 9 6 8 4 8 8 9 7 9 9 10 7 10 9 10 8 4 7 9 8 8 8 9 5 8 6 7 7 5 5 6 9 7 8 8 5 8 7 9 11 9 7 7 8 9 8 9 12 12 10 6 9 6 10 9 8 10 8 5 6 6 4 8 9 9 6
"Tieck_William-Lovell_1795" 7 10 9 10 9 10 11 8 6 8 9 7 9 8 9 9 9 10 8 10 10 8 7 9 10 10 8 8 10 10 7 9 11 7 10 10 9 8 10 6 8 7 7 9 8 9 9 8 9 7 7 10 10 9 9 9 6 8 4 8 8 9 7 9 9 10 7 10 9 10 8 4 7 9 8 8 8 9 5 8 6 7 7 5 5 6 9 7 8 8 5 8 7 9 11 9 7 7 8 9 8 9 12 12 10 6 9 6 10 9 8 10 8 5 6 6 4 8 9 9 6
"Unger_Albert-und-Albertine_1804" 7 10 9 9 9 9 10 8 6 8 9 7 9 8 7 9 9 10 8 10 10 8 6 9 9 9 8 8 9 10 6 8 10 7 10 9 9 7 9 6 8 7 7 8 8 9 9 8 8 7 7 9 10 9 9 9 6 8 4 7 7 9 7 9 8 9 7 10 8 9 7 4 7 9 8 8 6 7 5 8 6 7 7 5 5 6 9 7 7 8 5 8 7 9 10 9 7 7 8 9 8 9 10 10 11 6 9 5 9 9 8 10 8 5 6 6 4 8 9 9 6
"Unger_Bekenntnisse_1806" 5 6 5 5 5 5 6 6 5 5 6 4 6 6 4 6 7 6 4 6 7 5 5 5 5 5 5 5 6 6 4 4 6 6 6 5 5 4 6 4 5 4 5 5 5 5 5 6 6 6 6 5 6 5 5 7 4 6 4 5 5 6 6 6 5 6 6 6 6 6 5 2 6 6 6 6 5 5 3 4 4 4 4 3 3 4 5 5 5 6 2 5 5 5 6 6 4 5 5 5 5 5 6 6 6 8 6 4 5 5 5 6 4 3 4 4 4 5 6 6 4
"Unger_Julchen-Gruenthal_1798" 6 9 8 8 8 8 9 7 6 7 9 7 9 8 6 9 8 9 7 9 9 8 5 8 8 8 7 7 8 9 6 7 9 6 9 8 8 6 8 5 7 6 6 7 7 8 8 8 7 7 6 8 9 8 8 8 6 8 4 6 7 9 7 9 8 8 6 9 7 8 6 4 7 9 8 8 5 6 4 7 5 6 6 4 4 5 8 7 7 7 5 8 6 8 9 8 6 6 8 8 8 8 9 9 9 6 10 4 8 8 7 9 7 5 5 6 4 7 8 8 6
"Voss_Ini_1810" 5 5 5 6 5 6 6 5 4 5 4 3 4 4 8 4 5 5 4 5 5 4 7 5 6 6 5 5 6 5 6 6 6 7 5 7 5 6 6 5 5 4 5 6 5 5 5 4 7 4 5 5 5 5 6 6 4 4 4 6 5 4 4 4 5 6 5 5 6 6 6 2 4 4 4 4 7 7 4 5 5 5 5 4 4 5 5 3 6 5 2 4 5 5 7 5 5 5 5 5 4 5 6 6 5 4 4 10 7 5 6 5 4 3 5 4 4 5 5 5 3
"Vulpius_Rinaldo-Rinaldini_1799" 7 9 9 10 9 10 10 8 5 7 8 7 8 7 9 8 8 9 7 9 9 7 7 9 10 10 8 8 9 9 7 9 10 7 9 11 9 8 10 6 8 7 7 9 8 9 9 7 9 6 6 9 9 9 9 8 6 7 4 7 7 8 6 8 9 9 6 9 8 9 7 4 6 8 7 7 7 7 5 8 6 7 7 5 5 6 9 6 9 7 5 8 7 8 10 9 7 7 9 9 8 9 10 10 9 5 8 7 11 9 8 9 8 5 6 6 4 8 8 8 6
"Waiblinger_Briten-in-Rom_1828" 7 9 9 9 9 9 9 8 5 7 8 7 8 7 7 8 8 9 7 9 9 7 6 9 9 9 8 8 8 9 6 8 9 6 9 9 9 7 9 6 8 7 7 8 8 9 9 7 7 6 6 9 9 9 9 8 6 7 4 6 6 8 6 8 8 8 6 9 7 8 6 4 6 8 7 8 6 6 5 8 6 7 7 5 5 6 9 6 7 7 5 8 7 8 9 9 7 7 8 9 8 9 9 9 9 5 8 5 9 10 8 9 8 5 6 6 4 8 8 8 6
"Wezel_Belphegor_1776" 6 8 8 8 8 8 8 7 5 6 7 6 7 7 6 7 7 8 6 8 8 6 6 8 8 8 7 7 7 8 5 7 8 7 8 8 8 6 8 5 8 7 7 8 7 8 8 6 6 5 6 8 8 8 9 8 6 6 5 5 5 7 6 7 7 7 6 8 6 8 5 3 6 7 6 6 5 5 5 7 6 6 7 5 5 6 8 6 6 7 4 7 6 7 8 8 6 6 7 8 7 8 8 8 8 5 7 6 8 8 10 8 7 5 6 6 5 7 7 7 5
"Wezel_Hermann-und-Ulrike_1780" 7 10 9 9 9 9 10 8 6 8 9 7 9 8 7 9 9 10 8 10 10 8 6 9 9 9 8 8 9 10 6 8 10 7 10 9 9 7 9 6 8 7 7 8 8 9 9 8 8 7 7 9 10 9 9 9 6 8 4 7 7 9 7 9 8 9 7 10 8 9 7 4 7 9 8 8 6 7 5 8 6 7 7 5 5 6 9 7 7 8 5 8 7 9 10 9 7 7 8 9 8 9 10 10 10 6 9 5 9 9 8 11 9 5 6 6 4 8 9 9 6
"Wezel_Kakerlak_1784" 6 8 8 8 8 8 8 7 4 6 7 7 7 6 6 7 7 8 6 8 8 6 5 8 8 8 7 7 7 8 5 7 8 5 8 8 8 6 8 5 7 7 6 7 7 8 8 7 6 5 5 8 8 8 8 7 5 6 3 5 5 7 5 7 7 7 5 8 6 7 5 4 5 7 6 6 5 5 5 7 6 6 6 5 5 5 8 6 6 6 5 7 6 7 8 8 6 6 7 8 7 8 8 8 8 4 7 4 8 8 7 9 10 5 5 5 3 7 7 7 6
"Wieland_Abderiten_1774" 4 5 5 5 5 5 5 5 3 4 5 5 5 4 4 5 4 5 3 5 5 4 5 5 5 5 4 4 4 5 3 4 5 4 5 5 5 4 5 3 4 4 3 4 4 5 5 5 4 4 3 5 5 5 6 5 6 5 4 3 4 6 3 5 5 4 3 5 4 4 3 4 3 5 4 5 3 3 3 4 2 4 3 3 3 3 5 4 5 3 3 5 4 4 5 5 3 4 5 5 5 5 5 5 5 3 5 3 5 5 5 5 5 9 6 6 5 6 4 4 5
"Wieland_Agathon_1794" 6 6 6 6 6 6 6 6 3 5 5 4 5 4 5 5 6 6 4 6 6 4 7 6 6 6 6 6 6 6 4 5 6 6 6 6 6 5 6 5 5 4 5 5 6 6 6 5 6 5 5 6 6 6 7 7 6 5 5 5 4 6 4 5 5 6 5 6 6 5 5 3 4 5 5 5 5 5 3 5 4 5 4 3 3 4 6 3 5 5 2 5 6 5 6 6 5 6 5 6 5 6 6 6 6 4 5 5 6 6 6 6 5 6 8 6 6 7 6 6 4
"Wieland_Aristipp_1801" 5 6 6 6 6 6 6 5 3 4 6 5 6 5 4 6 6 6 4 6 6 5 6 6 6 6 6 6 6 6 5 5 6 5 6 6 6 4 6 4 5 4 5 5 6 6 6 5 5 5 4 6 6 6 7 7 6 5 5 4 4 6 5 6 6 6 4 6 5 5 4 3 5 6 6 5 4 4 2 5 4 4 4 2 2 3 6 4 5 5 3 6 5 5 6 6 5 5 6 6 6 6 6 6 6 4 6 4 6 6 6 6 5 6 6 8 5 7 6 6 4
"Wieland_Der-goldene-Spiegel_1772" 4 4 4 4 4 4 4 4 3 3 4 3 4 4 3 4 4 4 2 4 4 3 5 4 4 4 4 4 4 4 3 3 4 5 4 4 4 3 4 3 4 3 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 4 5 3 3 5 4 4 4 4 4 4 4 4 3 2 4 4 4 4 3 3 2 3 3 3 3 2 2 3 4 3 4 4 1 4 4 3 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 5 4 3 5 6 5 6 5 4 4 3
"Wieland_Peregrinus_1788" 7 8 8 8 8 8 8 7 4 6 7 6 7 6 6 7 8 8 6 8 8 6 6 8 8 8 8 8 8 8 6 7 8 6 8 8 8 6 8 6 7 6 7 7 8 8 8 6 7 6 6 8 8 8 8 8 5 6 4 6 5 8 6 7 7 8 6 8 7 7 6 3 6 7 7 6 6 6 4 7 6 6 6 4 4 5 8 5 6 7 4 7 7 7 8 8 7 7 7 8 7 8 8 8 8 5 7 5 8 8 7 8 7 6 7 7 5 10 8 8 5
"Wobeser_Elisa_1795" 7 9 8 8 8 8 9 7 5 7 8 6 8 7 6 8 9 9 7 9 9 7 6 8 8 8 8 8 9 9 6 7 9 7 9 8 8 6 8 6 7 6 7 7 8 8 8 7 8 7 7 8 9 8 8 9 5 7 4 7 6 8 7 8 7 9 7 9 8 8 7 3 7 8 8 7 6 7 4 7 6 6 6 4 4 5 8 6 6 8 4 7 7 8 9 8 7 7 7 8 7 8 9 9 9 6 8 5 8 8 7 9 7 4 6 6 4 8 9 9 5
"Wolzogen_Agnes_1798" 7 9 8 8 8 8 9 7 5 7 8 6 8 7 6 8 9 9 7 9 9 7 6 8 8 8 8 8 9 9 6 7 9 7 9 8 8 6 8 6 7 6 7 7 8 8 8 7 8 7 7 8 9 8 8 9 5 7 4 7 6 8 7 8 7 9 7 9 8 8 7 3 7 8 8 7 6 7 4 7 6 6 6 4 4 5 8 6 6 8 4 7 7 8 9 8 7 7 7 8 7 8 9 9 9 6 8 5 8 8 7 9 7 4 6 6 4 8 9 9 5
"Zschokke_Goldmacherdorf_1817" 5 6 6 7 6 6 6 6 4 5 7 6 6 5 5 6 5 6 4 6 6 5 4 6 6 6 5 5 5 6 4 5 6 4 6 6 7 5 6 4 6 6 4 5 5 6 6 6 6 5 4 6 6 6 7 5 5 6 3 4 5 6 5 6 6 5 4 6 6 5 5 4 4 6 5 7 4 4 4 5 3 5 4 4 4 4 6 6 6 4 4 6 5 5 6 6 4 5 6 6 6 6 6 6 6 4 6 3 6 6 5 6 6 5 4 4 3 5 5 5 8
